"Ovr","Name","Team","FIN_W1","FIN_W2","FIN_W3","FIN_W4","FIN_W5","FIN_W6","FIN_W7","FIN_W8","FIN_W9","FIN_W10","FIN_W11","FIN_W12","FIN_W13","FIN_W14","FIN_W15","FIN_W16","FIN_W17","FIN_W18"
"73.6","Jeremy McNichols","TEN","6.3","5.9","8.6","16.5","5.5","0","2","6.3","6.5","1.8","","","","1.6","8.1","3.1","1.4",""
"121.7","Rashaad Penny","SEA","0.8","","","","","","0.9","0.7","","","1.9","","7.2","26.8","6.4","19.5","32.5","25"
"83.2","Ronald Jones","TB","1.4","4.6","1.1","8.5","4.6","3.9","6.3","2.9","","0","9.3","9.7","1.2","0.8","9.1","16.1","3.7",""
"3.1","La'Mical Perine","NYJ","","","","","","","0","0.3","","","","","","2.8","","","",""
"116.9","Rhamondre Stevenson","NE","2.1","","","","2.3","15.2","","4.1","12.6","27.4","8.5","4.6","7.8","","5","","22.7","4.6"
"6.4","Ito Smith","DAL","","","","","","","","","","","","","","","","","","6.4"
"0.5","Jake Funk","LA","","0","0.6","","","","","","","","","","","","","-0.1","0",""
"0","Paul Quessenberry","HST","","","","","","","","","","","","","","","","0","",""
"116.6","Nyheim Hines","IND","14.2","3.2","18.9","3.1","1.8","3.2","2.2","6.4","20.8","4.9","3.1","5.9","8.6","","7.8","2.8","5.8","3.9"
"49.8","Carlos Hyde","JAX","7.8","0.7","4.4","","1.3","0","","13.2","8.3","1.4","0","1.6","9.3","1.8","","","",""
"51.5","Jeff Wilson Jr.","SF","","","","","","","","","","2.8","6.8","1.7","0","5.6","19.9","14.7","0","0"
"95.9","D'Onta Foreman","TEN","","","","","","","","","2.9","9.8","5","12.2","","14.2","15.5","7.7","19.2","9.4"
"0","Matthew Adams","IND","","0","","","","","","","","","","","","","","","",""
"107.2","Zack Moss","BUF","","17.4","18.1","12.1","12.2","5.9","","11.8","4.4","8.7","0.5","","5.3","","","3.5","3.9","3.4"
"0","Mike Hilton","CIN","","","0","","","","","","","","","","","","","","",""
"3.9","Kylin Hill","GB","1.4","0.8","","","1.5","","0.2","","","","","","","","","","",""
"30.8","Godwin Igwebuike","DET","","","","","","","","8.8","","11.6","0.6","1.1","3.1","2.5","3.1","0","",""
"234.7","Alvin Kamara","NO","18.1","7","20.8","12","29.2","","33.9","16.6","20.4","","","","","24.5","5.1","7.9","21","18.2"
"78.9","Khalil Herbert","CHI","0","","0","0.7","7.5","19.2","18.3","8.8","1.3","","0","0.9","3.7","0.3","6.4","9.8","0.9","1.1"
"5.1","Adam Prentice","NO","","","","","","","","","","","","2","0","0","0","0.2","1.6","1.3"
"88.2","Justin Jackson","LAC","1.7","3.9","0","5.3","","1.7","","7.9","","","0.2","","4.1","5.2","10.9","36.2","9.1","2"
"197.8","Devin Singletary","BUF","11","17.1","3.6","9.6","3.3","9.3","","3.9","12.9","11.9","7.3","5.8","3.6","14.9","16.6","18.8","23","25.2"
"20.5","J.J. Taylor","NE","","0.3","2.5","1","","","15.6","","","1.1","","","","","","","",""
"1.1","Buddy Howell","LA","","","","","","","","1.1","","","","","","","","","",""
"83.3","David Johnson","HST","11.8","6.7","1.1","7.8","10.1","3.1","10.2","1.3","7","","6.4","7.5","","","3.7","","","6.6"
"187.1","Derrick Henry","TEN","10.7","47.7","17.4","25.7","31","35.6","12.2","6.8","","","","","","","","","",""
"5.1","Jason Huntley","PHI","","","","","","","","","","","","","","","","","","5.1"
"89.5","Ameer Abdullah","CAR","3.9","0","2.4","1.2","0.2","","","9.6","7","9.1","0.6","4.4","","5.3","15.5","3.9","9.2","17.2"
"1.4","Nick Bellore","SEA","","0","","0","0","0","0","0","","","","","0","1.4","","0","0","0"
"22.5","Malcolm Brown","MIA","1.6","2.1","9.1","3.7","0","4.1","1.9","","","","","","","","","","",""
"145.3","Chase Edmonds","ARZ","14.6","12.5","14.5","17.9","6.4","8","10","15.9","0.3","","","","","","5.3","26.7","13.2",""
