"Ovr","Name","Team","W1","W2","W3","W4","W5","W6","W7","W8","W9","W10","W11","W12","W13","W14","W15","W16","W17","W18"
"168","Mike Hilton","CIN","","","82","","","","","","","","","","","","","","",""
"146","Kylin Hill","GB","74","74","","","70","","72","","","","","","","","","","",""
"96","Godwin Igwebuike","DET","","","","","","","","33","","23","71","70","50","54","62","89","",""
"9","Alvin Kamara","NO","10","37","10","26","5","","1","17","6","","","","","5","51","35","9","13"
"63","Khalil Herbert","CHI","87","","82","74","40","11","8","33","64","","83","72","46","67","42","29","75","76"
"139","Adam Prentice","NO","","","","","","","","","","","","64","71","70","79","86","71","73"
"59","Justin Jackson","LAC","68","52","82","48","","55","","37","","","80","","44","41","24","1","31","69"
"20","Devin Singletary","BUF","29","13","53","35","59","31","","55","20","22","31","42","47","14","7","10","5","3"
"109","J.J. Taylor","NE","","80","60","73","","","16","","","68","","","","","","","",""
"161","Buddy Howell","LA","","","","","","","","73","","","","","","","","","",""
"60","David Johnson","HST","27","39","67","43","35","49","26","71","39","","34","34","","","59","","","44"
"23","Derrick Henry","TEN","31","1","17","4","4","1","23","45","","","","","","","","","",""
"139","Jason Huntley","PHI","","","","","","","","","","","","","","","","","","51"
"58","Ameer Abdullah","CAR","52","85","62","68","79","","","32","39","28","71","46","","40","11","49","30","16"
"157","Nick Bellore","SEA","","85","","84","82","70","75","81","","","","","71","61","","89","83","83"
"104","Malcolm Brown","MIA","70","67","32","52","82","45","55","","","","","","","","","","",""
"33","Chase Edmonds","ARZ","18","19","25","13","45","36","27","19","72","","","","","","50","6","26",""
"168","Taiwan Jones","BUF","","","","","","","","81","","","","","","","","","",""
"86","Ty'Son Williams","BLT","9","22","63","","52","","41","","75","","","77","","","","","","78"
"93","Elijhaa Penny","NYG","87","79","73","84","78","33","52","63","48","","83","78","71","31","79","44","83","83"
"103","Jalen Richard","LV","","","","","71","60","40","","53","66","","78","","","79","71","56","52"
"39","Christian McCaffrey","CAR","1","3","44","","","","","","15","4","3","57","","","","","",""
"16","Dalvin Cook","MIN","6","14","","47","","8","","39","13","8","8","16","","1","23","","49","31"
"110","Joshua Kelley","LAC","","","","","68","68","","","61","72","","49","71","42","66","62","83",""
"4","Joe Mixon","CIN","2","35","30","23","34","4","24","2","4","","4","2","22","30","39","2","21",""
"168","Tory Carter","TEN","","","82","84","","70","","81","","77","83","78","","70","","","",""
