player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jarvis Landry,8698,WR,CLV,12,4,2,0,0.0,0,1,16,2,8,2,9,40.2,1,4,8,3,0,21.4,66.3,50.5,60.0,68.1,68.0,65.2,62.0,16,2,570,52,321,192,24,2,79,56,2,40,17,2.83,6.7,1.78,2
Logan Woodside,46517,QB,TEN,5,6,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,31,0,0,70.6,62.5,71.9,,,,61.6,60.0,-1,0,0,0,0,9,0,0,0,6,0,-6,0,0.0,-1.0,,0
Cooper Kupp,11824,WR,LA,21,6,1,1,78.3,18,0,23,9,30,1,13,36.5,1,2,26,1,0,76.3,93.0,92.3,66.2,40.2,93.1,51.3,80.9,18,0,2425,178,778,475,0,0,230,184,0,23,13,2.17,3.8,3.12,0
Brandon Aiyuk,84109,WR,SF,20,4,2,0,0.0,0,0,13,3,18,2,17,123.2,0,0,28,1,0,67.2,75.9,50.9,,66.0,78.3,44.2,58.2,8,5,951,65,559,470,4,1,97,69,0,17,19,3.8,3.4,1.7,0
Mason Rudolph,46569,QB,PIT,2,2,1,0,0.0,0,0,-1,0,0,0,19,0.0,3,3,25,0,0,82.3,74.2,80.5,68.8,,,81.7,60.0,26,0,0,0,0,31,54,3,0,2,0,53,81,16.2,10.6,,0
Deonte Harty,91470,WR,NO,13,5,1,1,53.7,22,0,41,3,6,1,18,61.5,1,1,20,0,0,68.9,87.8,84.6,,,86.7,74.9,60.4,22,0,570,36,212,75,0,0,57,41,0,41,18,3.6,8.2,2.69,0
Jaylen Samuels,47297,HB,HST,3,5,1,0,0.0,0,0,9,1,1,1,12,60.0,0,0,13,0,3,72.3,52.3,71.9,,,37.1,58.7,60.0,3,0,14,3,10,6,0,0,4,8,0,9,12,2.4,1.8,1.4,2
Elijah Moore,84302,WR,NYJ,11,5,1,2,63.0,34,2,54,2,5,1,9,22.5,2,3,22,0,0,79.4,71.2,46.3,,65.7,73.8,66.4,31.5,19,4,538,43,308,147,0,0,74,48,1,54,9,1.8,10.8,1.75,0
Freddie Swain,26448,WR,SEA,17,5,0,0,0.0,0,0,32,1,3,0,13,26.0,1,2,29,0,0,88.4,50.3,69.2,,82.4,51.4,55.6,41.1,11,1,343,25,366,196,0,0,39,30,0,32,13,2.6,6.4,0.94,0
Alex Armah,11948,FB,WAS,11,5,1,0,0.0,0,0,21,0,0,1,14,46.7,0,4,32,0,0,72.4,57.4,80.3,,74.8,51.9,70.3,53.0,9,0,1,1,17,52,0,0,1,6,0,21,14,2.8,4.2,0.06,0
Mekhi Sargent,83684,HB,JAX,4,5,0,0,0.0,0,0,11,1,0,0,8,0.0,0,1,15,0,3,69.7,43.4,68.3,,,25.9,56.9,,3,0,0,0,1,5,0,0,1,5,0,11,8,1.6,2.2,0.0,2
Michael Pittman Jr.,29049,WR,IND,17,5,0,1,56.8,25,1,44,5,9,0,12,23.2,1,1,14,1,0,57.1,78.0,30.2,,66.3,79.9,65.5,56.1,25,5,1082,88,555,377,0,0,124,93,0,44,12,2.4,8.8,1.95,0
D'Wayne Eskridge,29573,WR,SEA,10,5,1,1,50.8,30,0,59,0,1,1,16,42.7,2,2,29,0,0,74.9,58.3,82.2,,,55.4,84.0,41.9,30,0,64,10,108,75,0,0,19,15,0,59,16,3.2,11.8,0.59,0
Diontae Johnson,33441,WR,PIT,17,5,1,1,47.2,25,1,53,8,16,1,20,58.1,3,2,25,2,0,35.9,73.2,10.1,,,73.8,72.6,64.6,25,10,1195,112,654,345,0,0,176,117,0,53,20,4.0,10.6,1.83,0
Jakeem Grant,10820,WR,CHI,14,5,2,0,0.0,0,0,33,2,4,2,24,180.0,2,2,6,1,2,30.0,63.7,84.4,,,61.4,69.8,58.8,13,1,132,11,90,52,0,0,17,16,0,33,24,4.8,6.6,1.47,0
Wendell Smallwood,10787,HB,WAS,2,5,1,0,0.0,0,0,25,0,0,1,11,24.4,1,2,32,0,1,71.8,50.9,73.3,,45.1,64.5,46.3,,13,0,22,4,14,5,0,0,4,9,0,25,11,2.2,5.0,1.57,4
Mike White,46453,QB,NYJ,4,5,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,2,22,0,0,88.1,53.6,41.3,51.4,,90.8,71.1,60.0,2,1,0,0,0,63,0,0,0,5,0,-1,0,0.0,-0.2,,0
Buddy Howell,12888,HB,LA,2,5,0,0,0.0,0,0,11,0,0,0,12,0.0,0,0,26,0,0,72.0,66.9,70.2,,,59.7,65.5,60.0,4,0,0,0,1,6,0,0,0,5,0,11,12,2.4,2.2,0.0,5
Kenjon Barner,7963,HB,TB,1,4,0,0,,0,0,0,0,0,0,5,0.0,0,0,30,0,2,76.2,49.6,69.5,,,57.8,51.6,60.0,1,0,0,0,2,7,0,0,0,4,0,0,5,1.25,0.0,0.0,2
JaQuan Hardy,143793,HB,DAL,2,4,2,1,75.9,22,0,29,0,0,2,16,200.0,1,1,9,0,0,70.1,70.0,71.1,,,59.9,67.2,60.0,22,0,0,0,1,7,0,0,0,4,1,29,16,4.0,7.3,0.0,4
Blake Bell,9550,TE,KC,19,4,0,0,0.0,0,0,10,1,1,0,6,10.7,0,4,16,0,0,73.7,69.1,69.6,,70.5,52.5,79.2,70.2,3,2,90,10,103,231,0,0,12,14,0,10,6,1.5,2.5,0.87,0
Jake Funk,45835,HB,LA,6,4,0,0,0.0,0,0,10,0,0,0,9,0.0,0,0,26,0,0,73.2,53.6,78.4,,78.7,51.4,55.7,60.0,8,0,0,0,16,9,0,0,0,4,0,10,9,2.25,2.5,0.0,4
Kalif Raymond,11028,WR,DET,16,4,1,0,0.0,0,0,28,3,4,1,9,21.6,1,2,11,0,0,87.7,60.5,89.0,,68.3,60.6,58.5,49.6,13,0,576,48,469,245,0,0,70,52,0,28,9,2.25,7.0,1.23,0
Chris Godwin,11839,WR,TB,14,4,0,0,0.0,0,0,21,5,15,0,11,40.4,0,4,30,2,0,33.9,81.3,89.0,,69.6,79.4,68.5,74.0,9,0,1103,98,560,248,0,0,124,102,1,21,11,2.75,5.3,1.97,0
Curtis Samuel,11795,WR,WAS,5,4,0,0,0.0,0,0,11,0,1,0,9,22.5,0,0,32,0,0,72.0,66.0,81.0,,,66.0,59.0,67.3,8,0,27,6,37,43,0,0,8,10,0,11,9,2.25,2.8,0.73,1
Dwayne Washington,10870,HB,NO,5,4,1,0,0.0,0,0,16,0,0,1,13,54.2,0,0,20,0,1,73.1,64.1,72.0,,85.8,58.5,64.5,,5,0,12,2,9,4,0,0,2,6,0,16,13,3.25,4.0,1.33,3
Nick Foles,7089,QB,CHI,1,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,6,1,0,29.6,60.2,79.5,59.4,,,60.1,60.3,8,0,0,0,0,31,8,1,0,3,0,8,0,0.0,2.0,,0
Equanimeous St. Brown,47967,WR,GB,14,4,1,0,0.0,0,0,15,0,3,1,18,138.5,2,2,12,0,0,74.1,56.2,85.7,,73.1,55.1,61.8,57.0,13,2,98,9,157,146,0,0,16,13,0,15,18,4.5,3.8,0.62,0
Mike Boone,31615,HB,DEN,4,4,0,1,45.7,16,0,35,0,0,0,10,0.0,2,2,10,0,4,70.0,58.7,76.0,,21.2,63.8,62.6,60.0,16,0,22,2,12,7,0,0,2,6,0,35,10,2.5,8.8,1.83,0
Albert Wilson,8943,WR,MIA,14,4,3,0,0.0,0,0,17,2,7,3,32,275.9,1,1,17,0,0,77.6,59.3,60.4,67.7,,57.1,66.8,68.9,14,1,213,25,218,123,0,0,37,29,0,17,32,8.0,4.3,0.98,0
Robbie Anderson,11254,WR,CAR,17,3,2,1,83.3,30,0,36,5,4,2,40,142.9,1,1,5,0,0,80.5,60.6,89.9,,,59.3,72.4,57.8,30,0,519,53,623,326,0,0,105,56,0,36,40,13.33,12.0,0.83,0
Damarea Crockett,27436,HB,DEN,2,3,1,0,0.0,0,0,7,0,0,1,6,66.7,0,0,10,0,3,67.2,60.9,67.8,,,59.9,60.7,60.0,6,0,0,0,1,4,0,0,0,3,0,7,6,2.0,2.3,0.0,0
Tommy Tremble,84025,TE,CAR,16,3,0,0,0.0,0,0,11,2,2,0,6,17.4,0,1,5,0,1,76.2,55.2,77.3,,53.2,51.7,57.9,64.0,7,1,180,20,276,216,0,0,32,23,1,11,6,2.0,3.7,0.65,0
Nelson Agholor,9453,WR,NE,16,3,1,0,0.0,0,0,11,1,3,1,7,22.8,0,0,19,0,0,78.3,64.8,89.4,,,63.6,63.0,65.2,6,0,491,38,450,283,0,0,61,41,0,11,7,2.33,3.7,1.09,0
George Kittle,11901,TE,SF,17,3,0,0,0.0,0,0,20,4,19,0,9,70.4,0,0,28,2,1,28.3,90.7,57.5,,76.4,91.2,65.1,73.6,9,5,1024,78,464,452,0,0,104,81,0,20,9,3.0,6.7,2.21,0
Allen Lazard,48135,WR,GB,16,3,0,0,0.0,0,0,32,3,4,0,23,69.7,2,2,12,0,0,79.1,64.7,76.5,,75.0,63.9,63.9,62.7,14,3,519,41,461,279,0,0,60,44,0,32,23,7.67,10.7,1.13,0
Tavon Austin,7789,WR,JAX,13,3,0,0,0.0,0,0,21,2,3,0,2,7.4,0,1,15,0,1,77.3,60.2,85.4,,,59.3,62.8,61.0,8,0,213,24,206,75,0,0,38,27,0,21,2,0.67,7.0,1.03,0
Jason Cabinda,50714,FB,DET,14,3,1,1,91.3,21,0,23,1,0,1,12,57.1,1,2,11,0,0,71.1,58.5,82.8,,52.8,47.5,82.3,55.3,21,0,16,4,39,89,0,0,7,7,0,23,12,4.0,7.7,0.41,0
Hunter Renfrow,47509,WR,LV,18,3,1,0,0.0,0,0,3,3,15,1,5,23.4,0,0,23,1,1,58.0,78.8,88.6,,,80.3,49.3,38.1,5,0,1096,111,585,194,0,0,135,114,0,3,5,1.67,1.0,1.87,0
Gerald Everett,11799,TE,SEA,15,3,1,0,0.0,0,0,20,3,11,1,10,78.4,2,2,29,2,0,24.6,63.5,57.5,,76.8,64.5,62.6,57.2,13,3,478,48,356,235,0,0,59,51,0,20,10,3.33,6.7,1.34,0
Chris Streveler,46440,QB,ARZ,2,2,0,0,0.0,0,0,2,0,0,0,2,0.0,0,0,1,1,1,73.0,50.8,0.0,56.9,,,56.1,60.0,4,1,0,0,0,12,4,1,0,2,0,6,6,2.0,2.0,,0
Johnny Stanton,46441,FB,CLV,3,3,0,0,0.0,0,0,5,0,0,0,3,0.0,0,2,8,0,2,69.0,61.7,0.0,,43.2,66.3,64.9,67.0,3,1,7,2,4,7,0,0,2,5,0,5,3,1.0,1.7,1.75,0
Scotty Miller,47481,WR,TB,10,3,0,1,63.5,33,0,52,0,0,0,6,0.0,2,3,30,0,0,73.6,56.1,44.3,,,53.3,84.7,60.4,33,1,84,10,155,49,0,0,15,13,1,52,6,2.0,17.3,0.54,0
Van Jefferson,47447,WR,LA,21,3,3,1,42.9,15,0,35,9,3,3,13,41.9,3,2,26,0,0,80.9,58.5,51.8,,66.8,59.5,71.5,45.1,15,5,904,59,696,384,0,0,103,62,0,35,13,4.33,11.7,1.3,0
Anthony McFarland Jr.,57289,HB,PIT,2,3,0,0,0.0,0,0,3,0,0,0,4,0.0,0,0,25,0,2,72.7,51.0,73.2,,,55.9,50.0,60.0,3,0,11,1,10,7,0,0,1,4,0,3,4,1.33,1.0,1.1,1
Reggie Gilliam,40951,FB,BUF,17,3,1,0,0.0,0,0,3,0,0,1,4,14.8,0,0,4,0,0,71.3,69.8,85.5,,84.7,57.7,53.0,76.3,2,0,35,6,51,119,0,0,8,9,0,3,4,1.33,1.0,0.69,0
Kadarius Toney,61245,WR,NYG,10,2,0,0,0.0,0,1,5,3,12,0,1,14.6,0,0,21,0,2,79.7,72.8,36.5,66.7,,74.4,48.8,56.2,7,1,420,39,196,84,1,1,53,41,0,6,5,1.67,2.0,2.14,0
Tyler Boyd,10689,WR,CIN,20,3,1,0,0.0,0,0,25,1,9,1,21,82.4,1,1,7,1,0,55.0,70.8,68.4,60.1,68.6,70.4,65.4,62.4,14,2,938,82,678,301,0,0,105,85,0,25,21,7.0,8.3,1.38,0
Feleipe Franks,40217,QB,ATL,7,3,0,0,0.0,0,0,6,0,0,0,6,0.0,0,0,2,0,1,68.2,27.1,73.3,57.7,,54.9,49.2,60.1,4,0,0,0,4,8,0,0,0,3,0,6,6,2.0,2.0,0.0,2
Ian Book,40216,QB,NO,1,1,0,0,0.0,0,0,3,0,0,0,2,0.0,0,1,20,0,0,77.8,54.1,78.0,53.0,,,59.9,60.0,3,1,0,0,0,19,3,2,0,1,0,6,6,2.0,2.0,,0
Gabe Nabers,40117,FB,LAC,9,3,0,0,0.0,0,0,8,0,0,0,6,0.0,0,1,27,0,0,70.3,59.0,80.2,,8.8,72.8,63.2,48.2,4,0,17,3,14,29,0,0,3,6,0,8,6,2.0,2.7,1.21,0
Khari Blasingame,44889,FB,TEN,12,3,0,0,0.0,0,0,6,1,0,0,8,0.0,0,1,31,1,3,17.6,48.4,79.9,,75.2,35.4,36.9,65.2,3,0,4,2,24,59,0,0,3,5,0,6,8,2.67,2.0,0.17,0
Henry Ruggs III,61102,WR,LV,7,3,1,0,0.0,0,0,16,2,4,1,7,43.2,0,1,23,0,0,77.9,73.4,59.1,,,73.9,64.3,52.9,7,1,469,24,218,103,0,0,35,27,0,16,7,2.33,5.3,2.15,0
Trenton Cannon,66446,HB,SF,3,3,0,0,0.0,0,0,4,0,0,0,3,0.0,0,0,28,0,2,26.1,58.1,73.4,,,54.4,62.4,60.0,3,0,0,0,7,4,0,0,0,3,0,4,3,1.0,1.3,0.0,0
Andre Roberts,5612,WR,LAC,7,3,0,0,0.0,0,0,19,0,0,0,5,0.0,0,0,27,0,0,34.8,58.4,75.5,,,58.9,58.0,60.7,9,0,35,1,22,9,0,0,2,4,0,19,5,1.67,6.3,1.59,0
JuJu Smith-Schuster,11817,WR,PIT,6,3,1,0,0.0,0,0,9,1,3,1,7,40.6,0,1,25,0,0,76.0,58.0,51.7,,,59.0,54.2,57.1,3,2,155,20,184,84,0,0,33,23,1,9,7,2.33,3.0,0.84,0
Adam Prentice,35639,FB,NO,7,3,0,0,0.0,0,0,5,0,0,0,3,0.0,0,2,20,0,0,69.7,68.4,82.6,,80.7,55.2,67.6,67.4,2,0,16,3,35,55,0,0,3,6,0,5,3,1.0,1.7,0.46,0
Sam Ehlinger,60555,QB,IND,3,3,0,0,0.0,0,0,9,0,0,0,4,0.0,0,1,14,0,1,67.2,67.6,74.5,,,,65.2,60.0,9,0,0,0,0,18,0,0,0,3,0,9,4,1.33,3.0,,1
Ashton Dulin,91479,WR,IND,17,3,2,1,115.6,37,1,32,2,1,2,5,31.3,1,1,14,0,0,77.8,59.9,86.0,,,61.4,58.0,50.2,37,1,173,13,117,197,0,0,22,16,0,32,5,1.67,10.7,1.48,0
Nathan Peterman,11926,QB,LV,1,1,0,0,0.0,0,0,1,0,0,0,0,0.0,0,1,23,0,0,64.5,57.7,69.2,,,,58.4,60.0,1,0,0,0,0,3,1,1,0,1,0,2,2,1.0,1.0,,0
Davis Webb,11842,QB,BUF,1,2,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,4,0,0,65.2,60.8,69.2,,,,60.0,60.0,-1,0,0,0,0,4,0,0,0,2,0,-3,0,0.0,-1.5,,0
Zach Pascal,12303,WR,IND,16,2,0,0,0.0,0,0,21,3,0,0,8,0.0,1,0,14,1,0,29.9,52.7,64.9,,,52.5,61.1,55.5,12,3,384,38,494,339,0,0,67,40,0,21,8,4.0,10.5,0.78,0
Zay Jones,11792,WR,LV,18,2,0,0,0.0,0,1,3,1,5,0,2,9.3,0,0,23,1,0,40.3,70.6,88.6,,,70.4,53.2,59.9,4,1,607,52,448,232,0,0,77,54,0,3,2,1.0,1.5,1.35,0
Tim Boyle,21956,QB,DET,5,1,0,0,0.0,0,0,-1,0,0,0,0,0.0,1,1,11,1,0,54.8,54.0,83.0,52.2,,,66.4,60.0,14,1,0,0,0,80,14,1,0,1,0,13,0,0.0,6.5,,0
Kyle Allen,26152,QB,WAS,2,1,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,32,1,0,24.5,65.9,0.0,65.7,,,66.3,60.0,11,1,0,0,0,14,11,1,0,1,0,11,0,0.0,5.5,,0
Marcus Johnson,11074,WR,TEN,7,2,0,0,0.0,0,0,-2,1,1,0,4,18.2,0,1,31,0,0,77.3,63.0,43.4,,,64.9,62.3,49.3,5,1,160,9,93,99,0,0,17,11,0,-2,4,2.0,-1.0,1.72,0
John Kelly,34761,HB,CLV,1,2,0,0,0.0,0,0,13,0,0,0,8,0.0,1,1,8,0,0,65.2,64.3,66.8,,,,62.7,60.0,11,0,0,0,0,3,0,0,0,2,0,13,8,4.0,6.5,,2
Alec Ingold,34934,FB,LV,9,2,0,0,0.0,0,0,1,1,2,0,0,0.0,0,1,23,0,0,73.1,69.1,7.3,,79.1,64.8,60.2,71.3,1,1,85,10,46,79,0,0,12,12,0,1,0,0.0,0.5,1.85,0
Andy Janovich,10810,FB,CLV,13,2,0,0,,0,0,0,1,0,0,0,0.0,0,1,8,0,1,72.6,63.8,81.1,,52.7,59.1,61.5,64.7,1,0,9,3,20,58,0,0,4,5,1,0,0,0.0,0.0,0.45,0
Darrynton Evans,40692,HB,TEN,1,2,0,0,0.0,0,0,7,0,0,0,6,0.0,0,0,31,0,1,69.4,60.8,69.4,,73.0,74.4,55.0,,5,0,11,2,3,2,0,0,2,4,0,7,6,3.0,3.5,3.67,1
Raheem Mostert,9783,HB,SF,1,2,0,0,0.0,0,0,20,0,0,0,15,0.0,1,1,28,0,0,65.2,58.0,66.3,,,59.4,58.9,60.0,11,0,0,0,1,3,0,0,0,2,0,20,15,7.5,10.0,0.0,2
Jacques Patrick,45704,HB,SF,1,2,0,0,0.0,0,0,12,0,0,0,3,0.0,0,1,28,0,2,65.2,57.1,71.7,,,56.1,58.9,,8,0,0,0,4,2,0,0,0,2,0,12,3,1.5,6.0,0.0,0
Sean Mannion,9522,QB,MIN,1,1,0,0,0.0,0,0,3,0,0,0,1,0.0,1,2,18,0,0,79.4,68.9,78.0,64.4,,,74.4,60.0,11,0,0,0,0,10,11,1,0,1,0,14,20,10.0,7.0,,0
Tyler Lockett,9502,WR,SEA,16,2,0,0,0.0,0,0,9,1,3,0,0,0.0,0,0,29,0,0,82.1,81.0,76.9,,71.9,82.1,50.5,54.8,7,1,1175,73,500,282,0,0,103,75,0,9,0,0.0,4.5,2.35,0
Brandin Cooks,8655,WR,HST,16,2,0,1,76.2,16,1,21,4,6,0,8,26.1,1,1,13,0,0,83.1,77.4,89.4,,,77.3,62.6,52.5,16,2,1037,90,528,264,0,0,130,92,0,21,8,4.0,10.5,1.96,0
Odell Beckham Jr.,8647,WR,LA,18,2,1,0,0.0,0,0,14,5,2,1,8,17.9,1,1,26,0,0,81.4,74.8,77.9,79.9,,75.0,61.5,49.0,10,1,825,65,527,309,0,0,104,67,0,14,8,4.0,7.0,1.57,0
John Wolford,46454,QB,LA,3,2,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,26,0,0,70.2,40.2,75.5,38.6,,,58.1,60.0,0,0,0,0,0,19,0,0,0,2,0,-1,1,0.5,-0.5,,1
Kurt Benkert,46540,QB,GB,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,12,0,0,65.2,60.5,66.9,,,,60.0,,0,0,0,0,0,2,0,0,0,2,0,-1,0,0.0,-0.5,,0
Durham Smythe,47257,TE,MIA,17,2,0,0,0.0,0,1,3,1,0,0,2,0.0,0,2,17,0,0,77.8,59.5,80.6,,65.0,62.7,62.0,50.7,2,3,357,34,286,324,0,0,39,36,0,3,2,1.0,1.5,1.25,0
Cameron Batson,47669,WR,TEN,3,2,0,0,0.0,0,0,15,0,0,0,2,0.0,1,1,31,0,0,73.6,65.2,78.7,,,62.4,62.7,69.8,11,0,15,2,27,32,0,0,5,4,0,15,2,1.0,7.5,0.56,2
James Washington,47792,WR,PIT,16,2,0,0,0.0,0,1,13,2,1,0,4,7.1,1,1,25,0,0,27.1,52.9,67.8,,,53.4,60.5,48.2,12,3,322,26,356,124,0,0,45,28,0,13,4,2.0,6.5,0.9,0
Ray-Ray McCloud III,47895,WR,PIT,17,2,1,0,0.0,0,0,15,4,5,1,14,97.7,1,1,25,1,0,39.5,58.0,67.3,,67.4,57.7,73.6,52.2,10,1,297,41,348,172,0,0,65,43,0,15,14,7.0,7.5,0.85,0
Cedrick Wilson,48170,WR,DAL,17,2,0,0,0.0,0,0,11,3,4,0,0,0.0,0,1,9,2,0,31.4,71.7,89.4,82.0,67.2,71.6,60.9,37.1,6,1,664,50,391,161,0,0,71,52,0,11,0,0.0,5.5,1.7,0
A.J. Brown,48327,WR,TEN,14,2,0,0,0.0,0,1,10,9,8,0,3,17.1,0,1,31,0,0,81.6,86.3,43.7,38.2,,88.8,64.4,61.2,7,3,1011,68,372,257,0,0,110,70,0,10,3,1.5,5.0,2.72,0
Patrick Ricard,48862,FB,BLT,13,2,0,0,0.0,0,0,4,0,1,0,3,15.0,0,2,3,0,0,71.5,73.9,75.9,,61.1,50.3,69.6,87.1,2,1,63,8,141,314,0,0,11,10,0,4,3,1.5,2.0,0.45,0
Dallin Leavitt,49120,S,LV,2,2,0,0,0.0,0,0,6,0,0,0,2,0.0,0,2,23,0,0,65.2,68.5,66.4,,,,67.9,,4,0,0,0,0,2,0,0,0,2,0,6,2,1.0,3.0,,0
Marquise Goodwin,7859,WR,CHI,14,2,0,0,0.0,0,1,-1,0,0,0,3,0.0,0,0,6,1,1,25.4,62.5,63.6,,,64.6,53.0,44.1,1,1,313,20,241,136,0,0,38,22,0,-1,3,1.5,-0.5,1.3,0
Travis Kelce,7844,TE,KC,19,2,0,0,0.0,0,1,3,6,23,0,1,9.8,0,1,16,1,2,62.1,85.0,53.4,71.9,70.8,87.2,60.9,62.8,4,7,1424,115,740,289,0,0,158,117,1,3,1,0.5,1.5,1.92,0
Jerry Jeudy,61103,WR,DEN,10,2,1,0,0.0,0,1,3,2,6,1,4,35.0,0,0,10,1,0,30.0,68.7,39.5,,,70.5,50.5,57.4,3,2,467,38,253,141,0,0,54,40,0,3,4,2.0,1.5,1.85,0
Emmanuel Sanders,5606,WR,BUF,16,2,0,1,77.4,24,2,31,2,0,0,4,0.0,1,2,4,0,0,79.4,66.4,24.3,,,68.3,67.6,45.3,24,7,678,45,533,224,0,0,72,47,0,31,4,2.0,15.5,1.27,0
Chase Daniel,5214,QB,LAC,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,27,0,0,65.2,60.8,69.9,,,,60.0,60.0,-1,0,0,0,0,5,0,0,0,2,0,-2,0,0.0,-1.0,,0
Jaylen Waddle,84088,WR,MIA,16,2,1,0,0.0,0,0,3,9,11,1,1,5.7,0,1,17,1,1,64.9,78.3,54.2,,,78.5,62.5,63.0,2,4,1015,104,579,281,0,0,138,106,1,3,1,0.5,1.5,1.75,0
Joe Flacco,4332,QB,NYJ,2,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,22,1,0,29.7,62.1,0.0,62.5,,,62.7,60.0,2,1,0,0,0,20,1,1,0,1,0,3,4,2.0,1.5,,0
Christian Kirk,47546,WR,ARZ,18,1,0,0,0.0,0,1,11,6,3,0,3,10.7,1,1,1,0,0,84.5,72.1,57.4,82.2,,72.7,63.1,48.4,11,3,1035,83,576,330,0,0,112,84,0,11,3,3.0,11.0,1.8,0
Andrew Wingard,49268,S,JAX,1,1,0,0,0.0,0,0,4,0,0,0,3,0.0,0,1,15,0,0,61.9,64.9,60.4,,,,63.1,,4,2,0,0,0,1,0,0,0,1,0,4,3,3.0,4.0,,0
Reggie Bonnafon,47542,HB,CAR,1,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,5,0,1,66.2,60.5,74.4,,53.9,71.1,58.4,,4,0,12,2,8,1,0,0,2,3,0,4,2,2.0,4.0,1.5,0
Sean Chandler,51315,S,CAR,1,1,0,0,0.0,0,0,14,0,0,0,2,0.0,1,1,5,0,0,65.8,64.9,60.4,,,,63.1,,14,2,0,0,0,1,0,0,0,1,0,14,2,2.0,14.0,,0
Jakobi Meyers,47468,WR,NE,18,1,0,0,0.0,0,0,9,4,4,0,0,0.0,0,0,19,1,0,83.7,74.7,67.7,78.1,75.5,74.6,63.1,56.9,9,3,906,89,574,368,0,0,130,90,0,9,0,0.0,9.0,1.58,0
Kenny Stills,7926,WR,NO,13,1,0,0,0.0,0,0,1,2,0,0,1,0.0,0,0,20,0,0,70.3,54.7,84.5,,68.5,54.6,59.2,54.2,1,0,68,6,155,106,0,0,21,7,0,1,1,1.0,1.0,0.44,0
Mark Andrews,47436,TE,BLT,17,1,0,0,,0,1,0,3,9,0,0,0.0,0,0,3,1,0,60.4,91.5,90.2,,74.0,91.0,56.9,75.3,0,3,1361,107,623,264,0,0,149,108,0,0,0,0.0,0.0,2.18,0
Gary Brightwell,57133,HB,NYG,5,1,0,0,0.0,0,0,4,0,0,0,2,0.0,0,0,21,0,1,64.6,54.7,70.2,,63.8,58.2,56.9,57.2,4,0,6,1,8,4,0,0,1,2,0,4,2,2.0,4.0,0.75,0
David Njoku,11784,TE,CLV,16,1,0,0,0.0,0,0,1,2,5,0,3,40.5,0,0,8,0,0,78.0,70.9,77.8,,72.4,70.0,59.2,64.1,1,6,475,36,305,296,0,0,53,37,0,1,3,3.0,1.0,1.56,0
Mike Gesicki,47153,TE,MIA,17,1,0,0,,0,2,0,3,4,0,0,0.0,0,0,17,1,0,81.8,68.7,67.3,51.2,36.6,70.8,60.0,46.1,0,4,780,73,539,235,0,0,106,74,0,0,0,0.0,0.0,1.45,0
Jordan Akins,47050,TE,HST,13,1,0,0,0.0,0,0,3,2,2,0,2,16.0,0,1,13,2,0,19.1,52.5,67.9,,32.6,57.1,61.4,45.7,3,4,214,24,200,89,0,0,31,25,0,3,2,2.0,3.0,1.07,0
C.J. Board,12088,WR,NYG,6,1,0,0,0.0,0,0,6,0,1,0,4,80.0,0,0,21,0,0,80.4,61.4,79.2,,,60.0,59.2,76.3,6,2,51,4,48,26,0,0,6,5,0,6,4,4.0,6.0,1.06,0
Mike Evans,8642,WR,TB,18,1,0,0,0.0,0,0,10,6,10,0,2,21.7,1,1,30,0,0,83.0,75.4,90.0,,,75.1,63.1,50.5,10,2,1271,91,719,290,0,0,134,92,0,10,2,2.0,10.0,1.77,0
Eric Ebron,8645,TE,PIT,8,1,0,0,0.0,0,0,1,2,0,0,1,0.0,0,1,25,0,0,72.5,48.4,82.8,,76.1,46.8,62.0,49.2,1,0,84,12,172,60,0,0,17,13,1,1,1,1.0,1.0,0.49,0
Zach Ertz,7816,TE,ARZ,18,1,0,0,0.0,0,0,4,3,4,0,2,10.3,0,0,1,0,0,82.1,65.5,67.2,,77.0,69.4,56.2,46.9,4,4,784,77,551,298,0,0,112,78,0,4,2,2.0,4.0,1.42,0
David Blough,46508,QB,DET,1,0,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,11,1,0,13.6,26.2,69.2,60.0,,,58.3,60.0,6,0,0,0,0,2,6,1,0,0,0,6,4,4.0,6.0,,0
