player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Boston Scott,39462,HB,PHI,11,88,9,5,28.0,114,0,407,1,0,9,217,21.8,8,25,24,1,28,63.8,71.9,84.6,,52.4,62.5,72.7,59.8,34,0,84,14,87,122,0,0,16,102,8,407,217,2.47,4.6,0.97,59
Deebo Samuel,48274,WR,SF,19,86,28,7,36.7,184,0,502,12,27,28,353,130.5,14,24,28,4,42,39.8,90.2,80.1,62.3,60.1,87.8,85.3,55.0,49,1,1559,87,532,382,0,0,128,173,9,502,353,4.1,5.8,2.93,40
Jordan Howard,10784,HB,PHI,8,86,14,5,22.4,91,0,406,1,0,14,270,49.4,9,25,24,0,17,86.6,75.6,83.4,,44.3,46.6,77.0,70.7,25,0,26,3,57,100,0,0,4,89,3,406,270,3.14,4.7,0.46,69
Tevin Coleman,9506,HB,NYJ,11,84,17,6,28.9,103,0,356,1,0,17,290,61.8,10,20,22,0,35,88.3,74.1,83.1,,59.0,59.9,75.0,52.7,20,0,49,11,58,99,0,0,14,95,0,356,290,3.45,4.2,0.84,47
Patrick Mahomes,11765,QB,KC,20,18,4,0,0.0,0,0,-23,0,0,0,0,0.0,21,30,16,10,2,47.4,80.1,73.8,75.7,,59.1,84.0,60.5,34,5,0,0,1,435,521,61,0,18,3,498,179,2.27,6.3,0.0,0
Jeff Wilson Jr.,29413,HB,SF,10,79,7,2,11.2,33,0,294,0,0,7,223,23.0,6,19,28,1,19,60.0,60.8,25.4,,86.7,55.2,62.2,53.3,17,1,31,7,75,132,0,0,8,86,2,294,223,2.82,3.7,0.41,60
Kareem Hunt,11841,HB,CLV,8,78,21,5,29.3,113,0,386,1,4,21,269,86.2,12,22,8,0,46,87.2,74.4,83.9,,66.9,67.5,74.3,59.6,33,0,174,22,109,90,0,0,25,100,5,386,269,3.45,4.9,1.6,26
Trevor Lawrence,77632,QB,JAX,17,40,6,0,0.0,0,0,96,0,0,2,44,5.5,12,21,15,9,0,61.7,59.6,68.9,58.3,,,63.6,60.0,26,2,0,0,0,367,238,33,0,40,2,334,138,1.89,4.6,,25
Cam Akers,57206,HB,LA,5,72,10,1,8.6,15,0,175,1,2,10,166,33.3,2,6,26,2,14,31.3,43.7,82.1,,62.7,63.4,39.6,60.0,15,0,86,11,76,80,0,0,13,83,0,175,166,2.31,2.4,1.13,58
Justin Fields,82118,QB,CHI,12,27,11,0,0.0,0,0,53,0,0,3,22,9.1,14,22,6,12,2,27.0,64.2,36.9,60.8,,,72.3,61.5,23,4,0,0,0,256,367,45,0,27,2,420,268,3.72,5.8,,15
Carlos Hyde,8692,HB,JAX,12,72,11,2,13.0,33,1,253,2,1,11,174,34.5,4,14,15,2,30,32.9,53.8,87.1,,45.7,41.9,61.0,47.4,18,1,65,12,159,90,0,0,17,84,1,253,174,2.42,3.5,0.41,37
Duke Johnson Jr.,9510,HB,MIA,5,71,12,2,13.0,43,0,330,1,2,12,233,61.3,11,18,17,0,54,85.6,72.1,81.0,,85.6,53.2,73.7,41.4,27,0,41,4,55,82,0,0,5,75,3,330,233,3.28,4.6,0.75,16
Taysom Hill,12112,QB,NO,12,54,17,2,17.9,67,0,256,0,1,12,185,76.8,7,26,20,2,43,72.5,75.0,65.2,59.6,16.9,61.8,91.9,60.8,44,3,52,4,52,208,118,16,6,58,5,374,289,4.13,5.3,1.0,4
Kenneth Gainwell,77737,HB,PHI,17,69,13,2,12.1,36,0,297,5,2,13,204,41.4,7,19,24,1,19,45.2,72.0,88.5,,75.8,75.9,69.3,43.2,18,0,302,38,197,91,0,0,50,107,5,297,204,2.96,4.3,1.53,49
Jaret Patterson,77745,HB,WAS,15,68,11,0,0.0,0,0,266,0,0,11,177,36.7,6,15,32,1,18,56.9,62.4,82.0,,51.2,73.3,59.6,60.0,13,0,73,10,56,74,0,0,11,78,2,266,177,2.6,3.9,1.3,50
Justin Jackson,29539,HB,LAC,13,68,4,5,39.6,144,1,364,2,5,4,242,35.6,7,18,27,1,27,60.3,63.1,21.5,,23.4,64.5,66.9,60.0,75,2,178,22,124,78,0,0,24,90,2,364,242,3.56,5.4,1.44,41
David Johnson,9519,HB,HST,13,67,7,1,6.6,15,0,228,1,6,7,163,31.9,3,7,13,1,34,61.9,60.4,87.2,,34.4,70.6,56.3,54.9,15,0,225,32,176,80,0,0,39,99,0,228,163,2.43,3.4,1.28,28
Kenyan Drake,10707,HB,LV,12,63,10,2,15.4,39,0,254,1,9,10,162,52.5,5,15,23,0,21,64.3,73.1,84.8,,51.4,82.0,69.7,39.8,21,0,291,30,170,76,0,0,36,93,2,254,162,2.57,4.0,1.71,41
Justin Herbert,28237,QB,LAC,17,27,3,1,5.6,17,0,23,0,0,0,14,0.0,12,28,27,1,1,92.6,90.0,90.5,85.8,,90.8,79.1,60.0,36,2,0,0,1,395,279,36,0,27,3,302,140,2.22,4.8,0.0,3
Daniel Jones,39395,QB,NYG,11,39,6,2,20.5,61,0,149,0,0,4,61,15.6,8,16,21,7,5,51.1,71.1,72.2,70.6,72.2,92.6,57.4,60.2,46,3,16,1,4,229,149,23,1,40,2,298,97,1.56,4.8,4.0,14
Ty Johnson,45769,HB,NYJ,16,61,8,3,26.5,63,0,238,9,8,8,131,36.2,7,13,22,1,24,37.9,56.0,88.9,,38.1,50.5,62.8,53.9,24,0,372,34,256,84,0,0,53,95,2,238,131,2.15,3.9,1.45,35
Taylor Heinicke,9896,QB,WAS,16,18,4,0,0.0,0,0,27,0,0,0,9,0.0,12,20,32,7,0,61.8,59.4,56.4,58.9,,,59.3,60.0,38,4,-2,1,0,403,286,42,1,19,1,313,120,2.0,5.2,,4
Samaje Perine,11869,HB,CIN,19,58,8,3,34.3,85,1,248,3,3,8,224,47.7,7,11,7,0,17,85.5,60.1,40.5,,42.3,59.9,65.2,43.1,46,1,243,31,202,73,0,0,37,89,1,248,224,3.86,4.3,1.2,37
Ryan Tannehill,7014,QB,TEN,18,36,6,0,0.0,0,0,69,0,0,1,29,2.2,11,32,31,11,2,58.5,83.7,62.2,81.6,60.9,57.6,71.1,60.7,28,5,0,0,2,559,213,22,0,36,7,282,116,2.0,4.9,0.0,12
